COURSE CODE;COURSE;DURATION;CUSTOMER;CUSTOMER IMPORT;TEACHER;TEACHER IMPORT;COURSE DATE;COURSE SHIFT;COMMERCIAL;COMMERCIAL IMPORT;CUSTOMER PAYMENT;COUNTRY;CITY;COMMERCIAL PAYMENT
COD-011;WINDOWS;30;CUSTOMER-007; 750,00 € ;TEACHER-001; 360,00 € ;07/02/2020;NIGHT;COMMERCIAL-001; 37,50 € ;YES;SPAIN;MADRID;YES
COD-012;WINDOWS;40;CUSTOMER-005; 1.000,00 € ;TEACHER-004; 480,00 € ;11/03/2021;NIGHT;COMMERCIAL-003; 50,00 € ;YES;FRANCE;PARIS;YES
COD-013;WINDOWS;35;CUSTOMER-006; 875,00 € ;TEACHER-005; 420,00 € ;19/03/2019;NIGHT;COMMERCIAL-002; 43,75 € ;YES;FRANCE;PARIS;YES
COD-014;INTERNET;45;CUSTOMER-008; 1.125,00 € ;TEACHER-002; 540,00 € ;19/08/2019;AFTERNOON;COMMERCIAL-004; 56,25 € ;YES;SPAIN;MADRID;YES
COD-015;PROGRAMMING;18;CUSTOMER-003; 1.350,00 € ;TEACHER-001; 216,00 € ;03/09/2019;AFTERNOON;COMMERCIAL-003; 202,50 € ;YES;ITALY;ROME;YES
COD-016;DESIGN;10;CUSTOMER-005; 600,00 € ;TEACHER-004; 120,00 € ;18/04/2021;AFTERNOON;COMMERCIAL-002; 72,00 € ;YES;FRANCE;PARIS;YES
COD-017;DESIGN;12;CUSTOMER-006; 720,00 € ;TEACHER-005; 144,00 € ;05/01/2020;AFTERNOON;COMMERCIAL-004; 86,40 € ;YES;FRANCE;PARIS;YES
COD-018;DESIGN;15;CUSTOMER-004; 900,00 € ;TEACHER-002; 180,00 € ;21/08/2020;NIGHT;COMMERCIAL-001; 108,00 € ;YES;SPAIN;MADRID;NO
COD-019;ACCESS;25;CUSTOMER-007; 1.000,00 € ;TEACHER-001; 300,00 € ;27/12/2019;NIGHT;COMMERCIAL-003; 100,00 € ;YES;SPAIN;MADRID;YES
COD-020;ACCESS;15;CUSTOMER-007; 600,00 € ;TEACHER-004; 180,00 € ;29/01/2021;NIGHT;COMMERCIAL-002; 60,00 € ;YES;SPAIN;MADRID;YES
COD-021;ACCESS;20;CUSTOMER-006; 800,00 € ;TEACHER-003; 240,00 € ;02/05/2020;NIGHT;COMMERCIAL-004; 80,00 € ;YES;FRANCE;PARIS;YES
COD-022;ACCESS;20;CUSTOMER-005; 800,00 € ;TEACHER-002; 240,00 € ;06/04/2020;NIGHT;COMMERCIAL-001; 80,00 € ;YES;FRANCE;PARIS;YES
COD-023;EXCEL;30;CUSTOMER-008; 900,00 € ;TEACHER-001; 360,00 € ;28/08/2019;AFTERNOON;COMMERCIAL-002; 72,00 € ;YES;SPAIN;VALENCIA;YES
COD-024;EXCEL;35;CUSTOMER-008; 1.050,00 € ;TEACHER-001; 420,00 € ;01/11/2019;MORNING;COMMERCIAL-004; 84,00 € ;YES;SPAIN;VALENCIA;YES
COD-025;EXCEL;40;CUSTOMER-007; 1.200,00 € ;TEACHER-004; 480,00 € ;16/03/2021;AFTERNOON;COMMERCIAL-001; 96,00 € ;YES;SPAIN;VALENCIA;NO
COD-026;WORD;40;CUSTOMER-005; 1.000,00 € ;TEACHER-005; 480,00 € ;24/12/2019;MORNING;COMMERCIAL-003; 70,00 € ;NO;FRANCE;PARIS;NO
COD-027;WORD;35;CUSTOMER-003; 875,00 € ;TEACHER-002; 420,00 € ;07/11/2020;MORNING;COMMERCIAL-002; 61,25 € ;NO;ITALY;ROME;YES
COD-028;WORD;45;CUSTOMER-005; 1.125,00 € ;TEACHER-001; 540,00 € ;28/05/2019;MORNING;COMMERCIAL-004; 78,75 € ;NO;FRANCE;PARIS;YES
COD-029;WORD;25;CUSTOMER-004; 625,00 € ;TEACHER-004; 300,00 € ;16/02/2020;MORNING;COMMERCIAL-003; 43,75 € ;NO;SPAIN;VALENCIA;NO
COD-030;EXCEL;20;CUSTOMER-003; 600,00 € ;TEACHER-003; 240,00 € ;28/10/2019;AFTERNOON;COMMERCIAL-002; 48,00 € ;YES;ITALY;ROME;YES
COD-031;ACCESS;10;CUSTOMER-005; 400,00 € ;TEACHER-002; 120,00 € ;20/05/2021;AFTERNOON;COMMERCIAL-004; 40,00 € ;YES;FRANCE;MARSELLA;YES
COD-032;WORD;12;CUSTOMER-003; 300,00 € ;TEACHER-001; 144,00 € ;09/09/2021;AFTERNOON;COMMERCIAL-001; 21,00 € ;YES;ITALY;ROME;NO
COD-033;WORD;15;CUSTOMER-004; 375,00 € ;TEACHER-004; 180,00 € ;03/08/2021;AFTERNOON;COMMERCIAL-002; 26,25 € ;YES;SPAIN;VALENCIA;YES
COD-034;WORD;20;CUSTOMER-003; 500,00 € ;TEACHER-005; 240,00 € ;22/07/2020;NIGHT;COMMERCIAL-004; 35,00 € ;NO;ITALY;ROME;YES
COD-035;EXCEL;25;CUSTOMER-006; 750,00 € ;TEACHER-002; 300,00 € ;14/11/2020;NIGHT;COMMERCIAL-001; 60,00 € ;NO;FRANCE;MARSELLA;NO
COD-036;EXCEL;30;CUSTOMER-004; 900,00 € ;TEACHER-001; 360,00 € ;08/11/2019;NIGHT;COMMERCIAL-003; 72,00 € ;NO;SPAIN;VALENCIA;NO
COD-037;EXCEL;40;CUSTOMER-007; 1.200,00 € ;TEACHER-004; 480,00 € ;02/02/2019;AFTERNOON;COMMERCIAL-002; 96,00 € ;YES;SPAIN;VALENCIA;YES
COD-038;INTERNET;35;CUSTOMER-005; 875,00 € ;TEACHER-005; 420,00 € ;27/03/2021;AFTERNOON;COMMERCIAL-004; 43,75 € ;NO;FRANCE;PARIS;YES
COD-039;WINDOWS;45;CUSTOMER-006; 1.125,00 € ;TEACHER-002; 540,00 € ;03/08/2020;AFTERNOON;COMMERCIAL-003; 56,25 € ;YES;FRANCE;PARIS;NO
COD-040;WINDOWS;18;CUSTOMER-008; 450,00 € ;TEACHER-001; 216,00 € ;02/06/2021;AFTERNOON;COMMERCIAL-002; 22,50 € ;YES;SPAIN;VALENCIA;YES
COD-041;WINDOWS;10;CUSTOMER-003; 250,00 € ;TEACHER-003; 120,00 € ;26/07/2021;NIGHT;COMMERCIAL-004; 12,50 € ;YES;ITALY;ROME;YES
COD-042;INTERNET;12;CUSTOMER-005; 300,00 € ;TEACHER-002; 144,00 € ;22/06/2021;NIGHT;COMMERCIAL-001; 15,00 € ;YES;FRANCE;PARIS;YES
COD-043;PROGRAMMING;15;CUSTOMER-006; 1.125,00 € ;TEACHER-001; 180,00 € ;04/11/2021;NIGHT;COMMERCIAL-003; 168,75 € ;YES;FRANCE;MARSELLA;YES
COD-044;DESIGN;25;CUSTOMER-004; 1.500,00 € ;TEACHER-004; 300,00 € ;12/11/2020;NIGHT;COMMERCIAL-002; 180,00 € ;YES;SPAIN;VALENCIA;YES
COD-045;DESIGN;15;CUSTOMER-007; 900,00 € ;TEACHER-005; 180,00 € ;30/06/2019;NIGHT;COMMERCIAL-004; 108,00 € ;YES;SPAIN;VALENCIA;YES
COD-046;DESIGN;10;CUSTOMER-007; 600,00 € ;TEACHER-002; 120,00 € ;12/06/2019;AFTERNOON;COMMERCIAL-001; 72,00 € ;YES;SPAIN;VALENCIA;YES
COD-047;ACCESS;12;CUSTOMER-006; 480,00 € ;TEACHER-001; 144,00 € ;25/11/2020;NIGHT;COMMERCIAL-002; 48,00 € ;YES;FRANCE;PARIS;YES
COD-048;ACCESS;15;CUSTOMER-005; 600,00 € ;TEACHER-004; 180,00 € ;08/01/2019;NIGHT;COMMERCIAL-004; 60,00 € ;YES;FRANCE;PARIS;YES
COD-049;ACCESS;25;CUSTOMER-008; 1.000,00 € ;TEACHER-003; 300,00 € ;01/07/2019;NIGHT;COMMERCIAL-001; 100,00 € ;YES;SPAIN;VALLADOLID;NO
COD-050;ACCESS;15;CUSTOMER-001; 600,00 € ;TEACHER-002; 180,00 € ;11/01/2021;AFTERNOON;COMMERCIAL-003; 60,00 € ;YES;SPAIN;VALLADOLID;NO
COD-051;EXCEL;20;CUSTOMER-002; 600,00 € ;TEACHER-001; 240,00 € ;01/09/2021;AFTERNOON;COMMERCIAL-003; 48,00 € ;YES;ITALY;MILAN;NO
COD-052;EXCEL;20;CUSTOMER-004; 600,00 € ;TEACHER-004; 240,00 € ;02/10/2019;AFTERNOON;COMMERCIAL-002; 48,00 € ;YES;SPAIN;VALLADOLID;YES
COD-053;EXCEL;30;CUSTOMER-003; 900,00 € ;TEACHER-005; 360,00 € ;10/02/2019;AFTERNOON;COMMERCIAL-004; 72,00 € ;YES;ITALY;MILAN;YES
COD-054;WORD;35;CUSTOMER-005; 875,00 € ;TEACHER-002; 420,00 € ;19/09/2019;NIGHT;COMMERCIAL-001; 61,25 € ;NO;FRANCE;PARIS;NO
COD-055;WORD;40;CUSTOMER-003; 1.000,00 € ;TEACHER-001; 480,00 € ;02/01/2019;NIGHT;COMMERCIAL-002; 70,00 € ;NO;ITALY;MILAN;YES
COD-056;WORD;40;CUSTOMER-004; 1.000,00 € ;TEACHER-004; 480,00 € ;22/12/2019;NIGHT;COMMERCIAL-004; 70,00 € ;NO;SPAIN;VALLADOLID;YES
COD-057;INTERNET;35;CUSTOMER-003; 875,00 € ;TEACHER-005; 420,00 € ;18/12/2019;NIGHT;COMMERCIAL-001; 43,75 € ;NO;ITALY;ROME;NO
COD-058;PROGRAMMING;45;CUSTOMER-006; 3.375,00 € ;TEACHER-002; 540,00 € ;04/03/2021;NIGHT;COMMERCIAL-003; 506,25 € ;NO;FRANCE;MARSELLA;YES
COD-059;DESIGN;25;CUSTOMER-004; 1.500,00 € ;TEACHER-001; 300,00 € ;30/12/2019;AFTERNOON;COMMERCIAL-002; 180,00 € ;NO;SPAIN;VALLADOLID;YES
COD-060;DESIGN;20;CUSTOMER-007; 1.200,00 € ;TEACHER-004; 240,00 € ;09/11/2020;MORNING;COMMERCIAL-004; 144,00 € ;YES;SPAIN;VALLADOLID;YES
COD-061;DESIGN;10;CUSTOMER-005; 600,00 € ;TEACHER-003; 120,00 € ;01/10/2019;AFTERNOON;COMMERCIAL-003; 72,00 € ;NO;FRANCE;MARSELLA;YES
COD-062;ACCESS;12;CUSTOMER-006; 480,00 € ;TEACHER-002; 144,00 € ;18/03/2021;MORNING;COMMERCIAL-002; 48,00 € ;NO;FRANCE;MARSELLA;YES
COD-063;ACCESS;15;CUSTOMER-008; 600,00 € ;TEACHER-001; 180,00 € ;23/03/2019;MORNING;COMMERCIAL-004; 60,00 € ;YES;SPAIN;VALLADOLID;YES
COD-064;ACCESS;20;CUSTOMER-003; 800,00 € ;TEACHER-001; 240,00 € ;03/04/2021;MORNING;COMMERCIAL-001; 80,00 € ;NO;ITALY;MILAN;YES
COD-065;ACCESS;25;CUSTOMER-005; 1.000,00 € ;TEACHER-004; 300,00 € ;10/04/2019;MORNING;COMMERCIAL-003; 100,00 € ;YES;FRANCE;MARSELLA;YES
COD-066;EXCEL;30;CUSTOMER-006; 900,00 € ;TEACHER-005; 360,00 € ;11/03/2020;AFTERNOON;COMMERCIAL-002; 72,00 € ;YES;FRANCE;MARSELLA;YES
COD-067;EXCEL;40;CUSTOMER-004; 1.200,00 € ;TEACHER-002; 480,00 € ;11/10/2019;AFTERNOON;COMMERCIAL-004; 96,00 € ;YES;SPAIN;VALLADOLID;YES
COD-068;EXCEL;35;CUSTOMER-007; 1.050,00 € ;TEACHER-001; 420,00 € ;22/12/2020;AFTERNOON;COMMERCIAL-001; 84,00 € ;YES;SPAIN;VALLADOLID;YES
COD-069;WORD;45;CUSTOMER-007; 1.125,00 € ;TEACHER-004; 540,00 € ;15/09/2019;AFTERNOON;COMMERCIAL-002; 78,75 € ;YES;SPAIN;VALLADOLID;YES
COD-070;WORD;18;CUSTOMER-006; 450,00 € ;TEACHER-003; 216,00 € ;02/10/2021;NIGHT;COMMERCIAL-004; 31,50 € ;YES;FRANCE;MARSELLA;YES
COD-071;WORD;10;CUSTOMER-005; 250,00 € ;TEACHER-002; 120,00 € ;28/05/2021;NIGHT;COMMERCIAL-001; 17,50 € ;YES;FRANCE;MARSELLA;YES
COD-072;WORD;45;CUSTOMER-008; 1.125,00 € ;TEACHER-001; 540,00 € ;18/08/2021;NIGHT;COMMERCIAL-003; 78,75 € ;YES;SPAIN;VALLADOLID;YES
COD-073;EXCEL;25;CUSTOMER-008; 750,00 € ;TEACHER-004; 300,00 € ;30/05/2019;AFTERNOON;COMMERCIAL-002; 60,00 € ;YES;SPAIN;VALLADOLID;YES
COD-074;ACCESS;20;CUSTOMER-007; 800,00 € ;TEACHER-005; 240,00 € ;21/05/2019;AFTERNOON;COMMERCIAL-004; 80,00 € ;YES;SPAIN;VALLADOLID;YES
COD-075;WORD;10;CUSTOMER-005; 250,00 € ;TEACHER-002; 120,00 € ;28/01/2019;AFTERNOON;COMMERCIAL-003; 17,50 € ;YES;FRANCE;MARSELLA;YES
COD-076;WORD;12;CUSTOMER-003; 300,00 € ;TEACHER-001; 144,00 € ;10/10/2020;AFTERNOON;COMMERCIAL-002; 21,00 € ;YES;ITALY;MILAN;YES
COD-077;WORD;15;CUSTOMER-005; 375,00 € ;TEACHER-004; 180,00 € ;12/10/2021;NIGHT;COMMERCIAL-004; 26,25 € ;YES;FRANCE;MARSELLA;YES
COD-078;EXCEL;20;CUSTOMER-004; 600,00 € ;TEACHER-005; 240,00 € ;31/08/2020;MORNING;COMMERCIAL-001; 48,00 € ;NO;SPAIN;VALLADOLID;YES
COD-079;EXCEL;25;CUSTOMER-003; 750,00 € ;TEACHER-002; 300,00 € ;31/01/2021;MORNING;COMMERCIAL-002; 60,00 € ;NO;ITALY;MILAN;YES
COD-080;EXCEL;30;CUSTOMER-005; 900,00 € ;TEACHER-001; 360,00 € ;10/02/2020;MORNING;COMMERCIAL-004; 72,00 € ;YES;FRANCE;MARSELLA;YES
COD-081;INTERNET;40;CUSTOMER-003; 1.000,00 € ;TEACHER-004; 480,00 € ;27/02/2019;MORNING;COMMERCIAL-001; 50,00 € ;NO;ITALY;MILAN;YES
COD-082;WINDOWS;35;CUSTOMER-004; 875,00 € ;TEACHER-005; 420,00 € ;25/03/2021;AFTERNOON;COMMERCIAL-003; 43,75 € ;YES;SPAIN;VALLADOLID;YES
COD-083;WINDOWS;45;CUSTOMER-003; 1.125,00 € ;TEACHER-002; 540,00 € ;29/05/2019;AFTERNOON;COMMERCIAL-002; 56,25 € ;YES;ITALY;MILAN;YES
COD-084;WINDOWS;18;CUSTOMER-006; 450,00 € ;TEACHER-001; 216,00 € ;01/01/2021;AFTERNOON;COMMERCIAL-004; 22,50 € ;YES;FRANCE;PARIS;YES
COD-085;INTERNET;10;CUSTOMER-001; 250,00 € ;TEACHER-004; 120,00 € ;22/05/2021;AFTERNOON;COMMERCIAL-001; 12,50 € ;YES;SPAIN;VALLADOLID;NO
COD-086;PROGRAMMING;12;CUSTOMER-002; 900,00 € ;TEACHER-003; 144,00 € ;10/08/2019;NIGHT;COMMERCIAL-003; 135,00 € ;YES;ITALY;MILAN;NO
COD-087;DESIGN;15;CUSTOMER-004; 900,00 € ;TEACHER-002; 180,00 € ;07/05/2021;NIGHT;COMMERCIAL-002; 108,00 € ;YES;SPAIN;MADRID;YES
COD-088;DESIGN;25;CUSTOMER-003; 1.500,00 € ;TEACHER-001; 300,00 € ;07/04/2019;NIGHT;COMMERCIAL-004; 180,00 € ;YES;ITALY;MILAN;YES
COD-089;WORD;15;CUSTOMER-005; 375,00 € ;TEACHER-004; 180,00 € ;04/12/2019;AFTERNOON;COMMERCIAL-001; 26,25 € ;YES;FRANCE;PARIS;NO
COD-090;EXCEL;10;CUSTOMER-003; 300,00 € ;TEACHER-005; 120,00 € ;21/10/2019;AFTERNOON;COMMERCIAL-002; 24,00 € ;YES;ITALY;MILAN;YES
COD-091;EXCEL;12;CUSTOMER-004; 360,00 € ;TEACHER-002; 144,00 € ;14/04/2019;AFTERNOON;COMMERCIAL-004; 28,80 € ;YES;SPAIN;MADRID;YES
COD-092;EXCEL;15;CUSTOMER-003; 450,00 € ;TEACHER-001; 180,00 € ;20/08/2020;AFTERNOON;COMMERCIAL-001; 36,00 € ;YES;ITALY;MILAN;NO
COD-093;INTERNET;25;CUSTOMER-006; 625,00 € ;TEACHER-004; 300,00 € ;12/08/2021;NIGHT;COMMERCIAL-003; 31,25 € ;YES;FRANCE;PARIS;NO
COD-094;WINDOWS;15;CUSTOMER-004; 375,00 € ;TEACHER-005; 180,00 € ;05/02/2021;NIGHT;COMMERCIAL-002; 18,75 € ;YES;SPAIN;VALENCIA;YES
COD-095;WINDOWS;20;CUSTOMER-007; 500,00 € ;TEACHER-002; 240,00 € ;27/01/2020;NIGHT;COMMERCIAL-004; 25,00 € ;YES;SPAIN;VALENCIA;YES
COD-096;WINDOWS;20;CUSTOMER-005; 500,00 € ;TEACHER-001; 240,00 € ;18/07/2020;NIGHT;COMMERCIAL-003; 25,00 € ;NO;FRANCE;PARIS;NO
COD-097;INTERNET;30;CUSTOMER-006; 750,00 € ;TEACHER-004; 360,00 € ;30/07/2020;NIGHT;COMMERCIAL-002; 37,50 € ;NO;FRANCE;PARIS;YES
COD-098;PROGRAMMING;35;CUSTOMER-008; 2.625,00 € ;TEACHER-003; 420,00 € ;14/06/2020;AFTERNOON;COMMERCIAL-004; 393,75 € ;YES;SPAIN;VALENCIA;YES
COD-099;DESIGN;40;CUSTOMER-003; 2.400,00 € ;TEACHER-002; 480,00 € ;24/07/2021;MORNING;COMMERCIAL-001; 288,00 € ;NO;ITALY;MILAN;NO
COD-100;DESIGN;40;CUSTOMER-005; 2.400,00 € ;TEACHER-001; 480,00 € ;02/08/2020;AFTERNOON;COMMERCIAL-003; 288,00 € ;YES;FRANCE;PARIS;YES
COD-101;DESIGN;35;CUSTOMER-006; 2.100,00 € ;TEACHER-001; 420,00 € ;09/01/2021;MORNING;COMMERCIAL-002; 252,00 € ;YES;FRANCE;PARIS;YES
COD-102;ACCESS;15;CUSTOMER-004; 600,00 € ;TEACHER-004; 180,00 € ;15/11/2019;MORNING;COMMERCIAL-004; 60,00 € ;YES;SPAIN;VALENCIA;YES
COD-103;ACCESS;20;CUSTOMER-007; 800,00 € ;TEACHER-005; 240,00 € ;15/12/2021;MORNING;COMMERCIAL-001; 80,00 € ;YES;SPAIN;VALLADOLID;YES
COD-104;ACCESS;18;CUSTOMER-007; 720,00 € ;TEACHER-002; 216,00 € ;10/04/2020;MORNING;COMMERCIAL-002; 72,00 € ;YES;SPAIN;VALLADOLID;YES
COD-105;ACCESS;25;CUSTOMER-006; 1.000,00 € ;TEACHER-001; 300,00 € ;31/10/2019;AFTERNOON;COMMERCIAL-004; 100,00 € ;NO;FRANCE;MARSELLA;YES
COD-106;EXCEL;20;CUSTOMER-005; 600,00 € ;TEACHER-004; 240,00 € ;22/07/2021;AFTERNOON;COMMERCIAL-001; 48,00 € ;NO;FRANCE;MARSELLA;YES
COD-107;INTERNET;10;CUSTOMER-008; 300,00 € ;TEACHER-003; 120,00 € ;01/01/2021;AFTERNOON;COMMERCIAL-003; 24,00 € ;YES;SPAIN;VALLADOLID;YES
COD-108;WINDOWS;12;CUSTOMER-008; 360,00 € ;TEACHER-002; 144,00 € ;12/04/2021;AFTERNOON;COMMERCIAL-002; 28,80 € ;YES;SPAIN;VALLADOLID;YES
COD-109;WINDOWS;15;CUSTOMER-007; 375,00 € ;TEACHER-001; 180,00 € ;17/05/2020;NIGHT;COMMERCIAL-004; 26,25 € ;YES;SPAIN;VALLADOLID;YES
COD-110;WINDOWS;20;CUSTOMER-005; 500,00 € ;TEACHER-004; 240,00 € ;06/11/2021;NIGHT;COMMERCIAL-003; 35,00 € ;NO;FRANCE;MARSELLA;NO
COD-111;INTERNET;25;CUSTOMER-003; 625,00 € ;TEACHER-005; 300,00 € ;18/04/2019;NIGHT;COMMERCIAL-002; 43,75 € ;YES;ITALY;MILAN;YES
COD-112;PROGRAMMING;30;CUSTOMER-005; 750,00 € ;TEACHER-002; 360,00 € ;04/11/2020;AFTERNOON;COMMERCIAL-004; 52,50 € ;YES;FRANCE;MARSELLA;YES
COD-113;DESIGN;40;CUSTOMER-004; 1.200,00 € ;TEACHER-001; 480,00 € ;15/09/2021;AFTERNOON;COMMERCIAL-001; 96,00 € ;NO;SPAIN;VALENCIA;NO
COD-114;DESIGN;35;CUSTOMER-003; 1.400,00 € ;TEACHER-004; 420,00 € ;22/05/2020;AFTERNOON;COMMERCIAL-002; 140,00 € ;NO;ITALY;MILAN;YES
COD-115;DESIGN;45;CUSTOMER-005; 1.125,00 € ;TEACHER-005; 540,00 € ;03/10/2019;AFTERNOON;COMMERCIAL-004; 78,75 € ;NO;FRANCE;MARSELLA;YES
COD-116;ACCESS;18;CUSTOMER-003; 450,00 € ;TEACHER-002; 216,00 € ;26/01/2020;NIGHT;COMMERCIAL-001; 31,50 € ;NO;ITALY;MILAN;NO
COD-117;ACCESS;10;CUSTOMER-004; 250,00 € ;TEACHER-001; 120,00 € ;19/06/2021;NIGHT;COMMERCIAL-003; 17,50 € ;NO;SPAIN;MADRID;NO
COD-118;ACCESS;12;CUSTOMER-003; 360,00 € ;TEACHER-003; 144,00 € ;16/11/2019;NIGHT;COMMERCIAL-002; 28,80 € ;YES;ITALY;MILAN;YES
COD-119;ACCESS;15;CUSTOMER-006; 450,00 € ;TEACHER-002; 180,00 € ;10/11/2019;NIGHT;COMMERCIAL-004; 36,00 € ;NO;FRANCE;MARSELLA;YES
COD-120;EXCEL;25;CUSTOMER-004; 750,00 € ;TEACHER-001; 300,00 € ;27/11/2019;NIGHT;COMMERCIAL-003; 60,00 € ;YES;SPAIN;VALENCIA;NO
COD-121;EXCEL;15;CUSTOMER-007; 375,00 € ;TEACHER-004; 180,00 € ;01/12/2021;AFTERNOON;COMMERCIAL-002; 18,75 € ;YES;SPAIN;VALENCIA;YES
COD-122;EXCEL;20;CUSTOMER-005; 500,00 € ;TEACHER-005; 240,00 € ;13/05/2019;NIGHT;COMMERCIAL-004; 25,00 € ;YES;FRANCE;MARSELLA;YES
COD-123;WORD;20;CUSTOMER-006; 500,00 € ;TEACHER-002; 240,00 € ;13/10/2020;NIGHT;COMMERCIAL-001; 25,00 € ;YES;FRANCE;MARSELLA;NO
COD-124;WORD;30;CUSTOMER-008; 750,00 € ;TEACHER-001; 360,00 € ;30/01/2019;NIGHT;COMMERCIAL-003; 37,50 € ;YES;SPAIN;MADRID;NO
COD-125;ACCESS;35;CUSTOMER-003; 875,00 € ;TEACHER-004; 420,00 € ;12/01/2019;AFTERNOON;COMMERCIAL-002; 43,75 € ;YES;ITALY;MILAN;YES
COD-126;ACCESS;40;CUSTOMER-005; 3.000,00 € ;TEACHER-003; 480,00 € ;16/09/2021;AFTERNOON;COMMERCIAL-004; 450,00 € ;YES;FRANCE;MARSELLA;YES
COD-127;EXCEL;40;CUSTOMER-006; 2.400,00 € ;TEACHER-002; 480,00 € ;28/06/2021;AFTERNOON;COMMERCIAL-001; 288,00 € ;YES;FRANCE;MARSELLA;NO
COD-128;EXCEL;35;CUSTOMER-004; 2.100,00 € ;TEACHER-001; 420,00 € ;08/05/2021;AFTERNOON;COMMERCIAL-002; 252,00 € ;YES;SPAIN;VALLADOLID;YES
COD-129;EXCEL;45;CUSTOMER-007; 2.700,00 € ;TEACHER-004; 540,00 € ;11/03/2020;NIGHT;COMMERCIAL-004; 324,00 € ;YES;SPAIN;MADRID;YES
COD-130;WORD;25;CUSTOMER-007; 1.000,00 € ;TEACHER-005; 300,00 € ;15/01/2019;NIGHT;COMMERCIAL-001; 100,00 € ;YES;SPAIN;MADRID;NO
COD-131;WORD;20;CUSTOMER-006; 500,00 € ;TEACHER-002; 240,00 € ;02/09/2019;NIGHT;COMMERCIAL-003; 35,00 € ;YES;FRANCE;MARSELLA;NO
COD-132;WORD;10;CUSTOMER-005; 250,00 € ;TEACHER-001; 120,00 € ;01/06/2020;NIGHT;COMMERCIAL-003; 17,50 € ;YES;FRANCE;MARSELLA;NO
COD-133;INTERNET;12;CUSTOMER-008; 300,00 € ;TEACHER-003; 144,00 € ;25/11/2019;NIGHT;COMMERCIAL-002; 21,00 € ;YES;SPAIN;MADRID;YES
COD-134;PROGRAMMING;15;CUSTOMER-003; 450,00 € ;TEACHER-002; 180,00 € ;02/05/2019;AFTERNOON;COMMERCIAL-004; 36,00 € ;NO;ITALY;MILAN;YES
COD-135;DESIGN;20;CUSTOMER-005; 600,00 € ;TEACHER-001; 240,00 € ;18/01/2019;MORNING;COMMERCIAL-001; 48,00 € ;NO;FRANCE;MARSELLA;NO
COD-136;DESIGN;25;CUSTOMER-003; 750,00 € ;TEACHER-004; 300,00 € ;30/09/2021;AFTERNOON;COMMERCIAL-002; 60,00 € ;NO;ITALY;MILAN;YES
COD-137;DESIGN;30;CUSTOMER-004; 750,00 € ;TEACHER-005; 360,00 € ;02/11/2021;MORNING;COMMERCIAL-004; 37,50 € ;NO;SPAIN;VALLADOLID;YES
COD-138;ACCESS;40;CUSTOMER-003; 1.000,00 € ;TEACHER-002; 480,00 € ;03/06/2020;MORNING;COMMERCIAL-001; 50,00 € ;YES;ITALY;MILAN;YES
COD-139;ACCESS;35;CUSTOMER-006; 875,00 € ;TEACHER-001; 420,00 € ;22/03/2020;MORNING;COMMERCIAL-003; 43,75 € ;YES;FRANCE;PARIS;YES
COD-140;ACCESS;45;CUSTOMER-004; 1.125,00 € ;TEACHER-004; 540,00 € ;13/04/2020;MORNING;COMMERCIAL-002; 56,25 € ;YES;SPAIN;VALLADOLID;YES
