CUSTOMER INVOICE NUMBER;CONCEPT;CUSTOMER;PROVINCE;SECTOR;CUSTOMER IMPORT;CUSTOMER INVOICE DATE;CUSTOMER PAYMENT;SUPPLIER;ZONE;TYPE;IMPORT SUPPLIER
44;TEAMS;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 300,00 € ;05/07/2021;NO;PROV-001;ZONE 1;EXTERNAL; 90,00 € 
45;PROGRAM;CUSTOMER-0010;MADRID;BANK; 120,00 € ;05/07/2021;NO;PROV-005;ZONE 2;INTERNAL; 36,00 € 
46;TRAINING;CUSTOMER-0004;MADRID;CONSTRUCTION; 150,00 € ;28/11/2021;NO;PROV-003;ZONE 2;INTERNAL; 45,00 € 
47;CONSULTING;CUSTOMER-0005;BARCELONA;METAL; 8.500,00 € ;04/03/2021;NO;PROV-005;ZONE 2;INTERNAL; 2.550,00 € 
48;DEVELOPMENT;CUSTOMER-0006;BARCELONA;BANK; 1.200,00 € ;15/08/2021;NO;PROV-005;ZONE 2;INTERNAL; 360,00 € 
49;PROJECT;CUSTOMER-0007;BARCELONA;BANK; 300,00 € ;06/01/2021;NO;PROV-003;ZONE 2;INTERNAL; 90,00 € 
50;TEAMS;CUSTOMER-0003;MADRID;CONSTRUCTION; 200,00 € ;13/04/2020;YES;PROV-005;ZONE 2;INTERNAL; 60,00 € 
51;PROGRAM;CUSTOMER-0004;MADRID;CONSTRUCTION; 150,00 € ;25/06/2020;YES;PROV-003;ZONE 2;INTERNAL; 45,00 € 
52;TRAINING;CUSTOMER-0005;BARCELONA;METAL; 120,00 € ;29/08/2021;YES;PROV-005;ZONE 2;INTERNAL; 36,00 € 
53;CONSULTING;CUSTOMER-0005;BARCELONA;METAL; 300,00 € ;20/01/2021;YES;PROV-005;ZONE 2;INTERNAL; 90,00 € 
54;DEVELOPMENT;CUSTOMER-0006;BARCELONA;BANK; 350,00 € ;16/12/2021;YES;PROV-003;ZONE 2;INTERNAL; 105,00 € 
55;PROJECT;CUSTOMER-0007;BARCELONA;BANK; 300,00 € ;06/11/2020;YES;PROV-001;ZONE 1;EXTERNAL; 90,00 € 
56;TEAMS;CUSTOMER-0008;ALICANTE;METAL; 120,00 € ;07/12/2021;YES;PROV-002;ZONE 1;EXTERNAL; 36,00 € 
57;PROGRAM;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 150,00 € ;07/02/2019;NO;PROV-001;ZONE 1;EXTERNAL; 45,00 € 
58;TRAINING;CUSTOMER-0010;MADRID;BANK; 1.200,00 € ;14/07/2019;NO;PROV-004;ZONE 1;EXTERNAL; 360,00 € 
59;CONSULTING;CUSTOMER-0001;MADRID;METAL; 800,00 € ;13/08/2020;NO;PROV-004;ZONE 1;EXTERNAL; 240,00 € 
60;DEVELOPMENT;CUSTOMER-0010;MADRID;BANK; 750,00 € ;22/09/2020;NO;PROV-004;ZONE 1;EXTERNAL; 225,00 € 
61;PROJECT;CUSTOMER-0001;MADRID;METAL; 4.500,00 € ;11/05/2021;NO;PROV-004;ZONE 1;EXTERNAL; 1.350,00 € 
62;TEAMS;CUSTOMER-0002;ALICANTE;CONSTRUCTION; 500,00 € ;05/05/2020;NO;PROV-004;ZONE 1;EXTERNAL; 150,00 € 
63;PROGRAM;CUSTOMER-0003;MADRID;CONSTRUCTION; 750,00 € ;29/04/2020;YES;PROV-005;ZONE 2;INTERNAL; 225,00 € 
64;TRAINING;CUSTOMER-0004;MADRID;CONSTRUCTION; 950,00 € ;18/06/2019;YES;PROV-003;ZONE 2;INTERNAL; 285,00 € 
65;CONSULTING;CUSTOMER-0005;BARCELONA;METAL; 680,00 € ;11/02/2021;YES;PROV-005;ZONE 2;INTERNAL; 204,00 € 
66;DEVELOPMENT;CUSTOMER-0006;BARCELONA;BANK; 950,00 € ;14/03/2021;YES;PROV-005;ZONE 2;INTERNAL; 285,00 € 
67;PROJECT;CUSTOMER-0007;BARCELONA;BANK; 1.500,00 € ;05/09/2021;YES;PROV-003;ZONE 2;INTERNAL; 450,00 € 
68;TEAMS;CUSTOMER-0008;ALICANTE;METAL; 5.000,00 € ;21/04/2020;YES;PROV-005;ZONE 2;INTERNAL; 1.500,00 € 
69;CONSULTING;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 6.500,00 € ;02/05/2019;YES;PROV-003;ZONE 2;INTERNAL; 1.950,00 € 
70;DEVELOPMENT;CUSTOMER-0010;MADRID;BANK; 1.200,00 € ;29/04/2019;YES;PROV-005;ZONE 2;INTERNAL; 360,00 € 
71;PROJECT;CUSTOMER-0004;MADRID;CONSTRUCTION; 800,00 € ;25/03/2021;YES;PROV-005;ZONE 2;INTERNAL; 240,00 € 
72;TEAMS;CUSTOMER-0005;BARCELONA;METAL; 750,00 € ;26/05/2020;YES;PROV-003;ZONE 2;INTERNAL; 225,00 € 
73;PROGRAM;CUSTOMER-0005;BARCELONA;METAL; 4.500,00 € ;22/06/2020;YES;PROV-001;ZONE 1;EXTERNAL; 1.125,00 € 
74;TRAINING;CUSTOMER-0006;BARCELONA;BANK; 500,00 € ;04/07/2020;YES;PROV-002;ZONE 1;EXTERNAL; 125,00 € 
75;CONSULTING;CUSTOMER-0007;BARCELONA;BANK; 750,00 € ;09/12/2020;YES;PROV-001;ZONE 1;EXTERNAL; 187,50 € 
76;DEVELOPMENT;CUSTOMER-0008;ALICANTE;METAL; 950,00 € ;27/09/2020;YES;PROV-005;ZONE 2;INTERNAL; 237,50 € 
77;PROJECT;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 680,00 € ;09/11/2019;YES;PROV-003;ZONE 2;INTERNAL; 170,00 € 
78;TEAMS;CUSTOMER-0010;MADRID;BANK; 950,00 € ;27/11/2019;YES;PROV-005;ZONE 2;INTERNAL; 237,50 € 
79;PROGRAM;CUSTOMER-0001;MADRID;METAL; 1.500,00 € ;18/06/2019;YES;PROV-005;ZONE 2;INTERNAL; 375,00 € 
80;TRAINING;CUSTOMER-0010;MADRID;BANK; 5.000,00 € ;01/04/2021;YES;PROV-003;ZONE 2;INTERNAL; 1.250,00 € 
81;CONSULTING;CUSTOMER-0001;MADRID;METAL; 6.500,00 € ;16/10/2021;YES;PROV-005;ZONE 2;INTERNAL; 1.625,00 € 
82;DEVELOPMENT;CUSTOMER-0002;ALICANTE;CONSTRUCTION; 8.500,00 € ;09/09/2019;YES;PROV-003;ZONE 2;INTERNAL; 2.125,00 € 
83;PROJECT;CUSTOMER-0003;MADRID;CONSTRUCTION; 1.200,00 € ;26/12/2020;YES;PROV-005;ZONE 2;INTERNAL; 300,00 € 
84;TEAMS;CUSTOMER-0004;MADRID;CONSTRUCTION; 300,00 € ;11/07/2019;NO;PROV-005;ZONE 2;INTERNAL; 75,00 € 
85;PROGRAM;CUSTOMER-0005;BARCELONA;METAL; 200,00 € ;22/02/2019;NO;PROV-003;ZONE 2;INTERNAL; 50,00 € 
86;TRAINING;CUSTOMER-0006;BARCELONA;BANK; 150,00 € ;25/01/2020;NO;PROV-001;ZONE 1;EXTERNAL; 37,50 € 
87;CONSULTING;CUSTOMER-0007;BARCELONA;BANK; 120,00 € ;09/10/2020;NO;PROV-002;ZONE 1;EXTERNAL; 30,00 € 
88;DEVELOPMENT;CUSTOMER-0008;ALICANTE;METAL; 300,00 € ;11/05/2021;NO;PROV-001;ZONE 1;EXTERNAL; 75,00 € 
89;DEVELOPMENT;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 350,00 € ;19/09/2019;NO;PROV-004;ZONE 1;EXTERNAL; 87,50 € 
90;PROJECT;CUSTOMER-0010;MADRID;BANK; 300,00 € ;29/07/2019;NO;PROV-004;ZONE 1;EXTERNAL; 75,00 € 
91;TEAMS;CUSTOMER-0004;MADRID;CONSTRUCTION; 120,00 € ;12/09/2019;YES;PROV-004;ZONE 1;EXTERNAL; 30,00 € 
92;PROGRAM;CUSTOMER-0005;BARCELONA;METAL; 150,00 € ;13/12/2021;YES;PROV-004;ZONE 1;EXTERNAL; 37,50 € 
93;TRAINING;CUSTOMER-0006;BARCELONA;BANK; 1.200,00 € ;08/07/2020;YES;PROV-004;ZONE 1;EXTERNAL; 300,00 € 
94;CONSULTING;CUSTOMER-0007;BARCELONA;BANK; 800,00 € ;19/07/2020;YES;PROV-005;ZONE 2;INTERNAL; 200,00 € 
95;DEVELOPMENT;CUSTOMER-0003;MADRID;CONSTRUCTION; 750,00 € ;23/10/2020;YES;PROV-003;ZONE 2;INTERNAL; 187,50 € 
96;PROJECT;CUSTOMER-0004;MADRID;CONSTRUCTION; 4.500,00 € ;14/10/2019;YES;PROV-005;ZONE 2;INTERNAL; 1.125,00 € 
97;TEAMS;CUSTOMER-0005;BARCELONA;METAL; 500,00 € ;16/11/2019;YES;PROV-005;ZONE 2;INTERNAL; 125,00 € 
98;PROGRAM;CUSTOMER-0005;BARCELONA;METAL; 750,00 € ;25/03/2020;YES;PROV-003;ZONE 2;INTERNAL; 187,50 € 
99;TRAINING;CUSTOMER-0006;BARCELONA;BANK; 950,00 € ;19/04/2021;YES;PROV-005;ZONE 2;INTERNAL; 237,50 € 
100;CONSULTING;CUSTOMER-0007;BARCELONA;BANK; 680,00 € ;26/10/2021;YES;PROV-003;ZONE 2;INTERNAL; 170,00 € 
101;DEVELOPMENT;CUSTOMER-0008;ALICANTE;METAL; 950,00 € ;20/03/2020;YES;PROV-005;ZONE 2;INTERNAL; 237,50 € 
102;PROJECT;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 1.500,00 € ;01/04/2021;YES;PROV-005;ZONE 2;INTERNAL; 375,00 € 
103;TEAMS;CUSTOMER-0010;MADRID;BANK; 5.000,00 € ;08/02/2020;YES;PROV-003;ZONE 2;INTERNAL; 1.250,00 € 
104;CONSULTING;CUSTOMER-0001;MADRID;METAL; 6.500,00 € ;21/06/2021;YES;PROV-001;ZONE 1;EXTERNAL; 1.625,00 € 
105;DEVELOPMENT;CUSTOMER-0010;MADRID;BANK; 8.500,00 € ;10/01/2021;YES;PROV-002;ZONE 1;EXTERNAL; 2.125,00 € 
106;PROJECT;CUSTOMER-0001;MADRID;METAL; 1.200,00 € ;01/03/2020;YES;PROV-001;ZONE 1;EXTERNAL; 300,00 € 
107;TEAMS;CUSTOMER-0002;ALICANTE;CONSTRUCTION; 300,00 € ;06/09/2020;YES;PROV-005;ZONE 2;INTERNAL; 75,00 € 
108;PROGRAM;CUSTOMER-0003;MADRID;CONSTRUCTION; 200,00 € ;18/12/2020;YES;PROV-003;ZONE 2;INTERNAL; 80,00 € 
109;TRAINING;CUSTOMER-0004;MADRID;CONSTRUCTION; 150,00 € ;14/03/2019;YES;PROV-005;ZONE 2;INTERNAL; 60,00 € 
110;CONSULTING;CUSTOMER-0005;BARCELONA;METAL; 120,00 € ;07/09/2020;YES;PROV-005;ZONE 2;INTERNAL; 48,00 € 
111;DEVELOPMENT;CUSTOMER-0006;BARCELONA;BANK; 300,00 € ;05/12/2020;NO;PROV-003;ZONE 2;INTERNAL; 120,00 € 
112;PROJECT;CUSTOMER-0007;BARCELONA;BANK; 350,00 € ;16/05/2020;NO;PROV-005;ZONE 2;INTERNAL; 140,00 € 
113;TEAMS;CUSTOMER-0008;ALICANTE;METAL; 300,00 € ;07/07/2021;NO;PROV-003;ZONE 2;INTERNAL; 120,00 € 
114;PROGRAM;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 120,00 € ;14/10/2019;NO;PROV-005;ZONE 2;INTERNAL; 48,00 € 
115;PROJECT;CUSTOMER-0010;MADRID;BANK; 150,00 € ;25/06/2020;NO;PROV-005;ZONE 2;INTERNAL; 60,00 € 
116;TEAMS;CUSTOMER-0004;MADRID;CONSTRUCTION; 8.500,00 € ;15/02/2021;NO;PROV-003;ZONE 2;INTERNAL; 3.400,00 € 
117;PROGRAM;CUSTOMER-0005;BARCELONA;METAL; 1.200,00 € ;30/06/2020;NO;PROV-001;ZONE 1;EXTERNAL; 480,00 € 
118;TRAINING;CUSTOMER-0005;BARCELONA;METAL; 300,00 € ;12/12/2019;YES;PROV-002;ZONE 1;EXTERNAL; 120,00 € 
119;CONSULTING;CUSTOMER-0006;BARCELONA;BANK; 200,00 € ;07/10/2019;YES;PROV-001;ZONE 1;EXTERNAL; 80,00 € 
120;DEVELOPMENT;CUSTOMER-0007;BARCELONA;BANK; 150,00 € ;29/10/2020;YES;PROV-004;ZONE 1;EXTERNAL; 60,00 € 
121;PROJECT;CUSTOMER-0008;ALICANTE;METAL; 120,00 € ;31/12/2020;YES;PROV-004;ZONE 1;EXTERNAL; 48,00 € 
122;TEAMS;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 300,00 € ;30/05/2019;YES;PROV-004;ZONE 1;EXTERNAL; 120,00 € 
123;CONSULTING;CUSTOMER-0010;MADRID;BANK; 350,00 € ;24/11/2021;YES;PROV-004;ZONE 1;EXTERNAL; 140,00 € 
124;DEVELOPMENT;CUSTOMER-0001;MADRID;METAL; 300,00 € ;23/06/2019;YES;PROV-004;ZONE 1;EXTERNAL; 120,00 € 
125;PROJECT;CUSTOMER-0010;MADRID;BANK; 120,00 € ;25/04/2020;YES;PROV-003;ZONE 2;INTERNAL; 48,00 € 
126;TEAMS;CUSTOMER-0001;MADRID;METAL; 150,00 € ;05/01/2019;YES;PROV-005;ZONE 2;INTERNAL; 60,00 € 
127;PROGRAM;CUSTOMER-0002;ALICANTE;CONSTRUCTION; 1.200,00 € ;27/02/2020;YES;PROV-005;ZONE 2;INTERNAL; 480,00 € 
128;TRAINING;CUSTOMER-0003;MADRID;CONSTRUCTION; 800,00 € ;02/07/2021;YES;PROV-003;ZONE 2;INTERNAL; 320,00 € 
129;CONSULTING;CUSTOMER-0004;MADRID;CONSTRUCTION; 750,00 € ;18/07/2019;YES;PROV-005;ZONE 2;INTERNAL; 300,00 € 
130;DEVELOPMENT;CUSTOMER-0005;BARCELONA;METAL; 4.500,00 € ;08/12/2020;YES;PROV-003;ZONE 2;INTERNAL; 1.800,00 € 
131;PROJECT;CUSTOMER-0006;BARCELONA;BANK; 500,00 € ;28/03/2020;YES;PROV-005;ZONE 2;INTERNAL; 200,00 € 
132;TEAMS;CUSTOMER-0007;BARCELONA;BANK; 750,00 € ;14/07/2021;YES;PROV-005;ZONE 2;INTERNAL; 300,00 € 
133;PROGRAM;CUSTOMER-0008;ALICANTE;METAL; 950,00 € ;28/02/2021;YES;PROV-003;ZONE 2;INTERNAL; 380,00 € 
134;TRAINING;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 680,00 € ;25/02/2019;YES;PROV-001;ZONE 1;EXTERNAL; 272,00 € 
135;CONSULTING;CUSTOMER-0010;MADRID;BANK; 950,00 € ;15/05/2021;YES;PROV-002;ZONE 1;EXTERNAL; 380,00 € 
136;DEVELOPMENT;CUSTOMER-0004;MADRID;CONSTRUCTION; 1.500,00 € ;09/06/2021;YES;PROV-001;ZONE 1;EXTERNAL; 600,00 € 
137;PROJECT;CUSTOMER-0005;BARCELONA;METAL; 5.000,00 € ;30/12/2020;YES;PROV-005;ZONE 2;INTERNAL; 2.000,00 € 
138;TEAMS;CUSTOMER-0006;BARCELONA;BANK; 6.500,00 € ;07/07/2019;YES;PROV-003;ZONE 2;INTERNAL; 2.600,00 € 
139;PROGRAM;CUSTOMER-0007;BARCELONA;BANK; 1.200,00 € ;16/11/2021;NO;PROV-005;ZONE 2;INTERNAL; 480,00 € 
140;TRAINING;CUSTOMER-0003;MADRID;CONSTRUCTION; 800,00 € ;03/01/2021;NO;PROV-005;ZONE 2;INTERNAL; 320,00 € 
141;CONSULTING;CUSTOMER-0004;MADRID;CONSTRUCTION; 750,00 € ;04/09/2019;NO;PROV-003;ZONE 2;INTERNAL; 300,00 € 
142;DEVELOPMENT;CUSTOMER-0005;BARCELONA;METAL; 4.500,00 € ;27/02/2021;NO;PROV-005;ZONE 2;INTERNAL; 2.025,00 € 
143;PROJECT;CUSTOMER-0005;BARCELONA;METAL; 500,00 € ;16/03/2020;NO;PROV-003;ZONE 2;INTERNAL; 225,00 € 
144;TEAMS;CUSTOMER-0006;BARCELONA;BANK; 750,00 € ;08/10/2020;NO;PROV-005;ZONE 2;INTERNAL; 337,50 € 
145;PROGRAM;CUSTOMER-0007;BARCELONA;BANK; 950,00 € ;01/05/2021;NO;PROV-005;ZONE 2;INTERNAL; 427,50 € 
146;TRAINING;CUSTOMER-0008;ALICANTE;METAL; 680,00 € ;20/12/2021;YES;PROV-003;ZONE 2;INTERNAL; 306,00 € 
147;CONSULTING;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 950,00 € ;21/12/2019;YES;PROV-001;ZONE 1;EXTERNAL; 427,50 € 
148;DEVELOPMENT;CUSTOMER-0010;MADRID;BANK; 1.500,00 € ;06/02/2021;YES;PROV-002;ZONE 1;EXTERNAL; 675,00 € 
149;PROJECT;CUSTOMER-0001;MADRID;METAL; 5.000,00 € ;18/03/2021;YES;PROV-001;ZONE 1;EXTERNAL; 2.250,00 € 
150;TEAMS;CUSTOMER-0010;MADRID;BANK; 6.500,00 € ;29/06/2019;YES;PROV-004;ZONE 1;EXTERNAL; 2.925,00 € 
151;PROGRAM;CUSTOMER-0001;MADRID;METAL; 8.500,00 € ;05/11/2020;YES;PROV-004;ZONE 1;EXTERNAL; 3.825,00 € 
152;TRAINING;CUSTOMER-0002;ALICANTE;CONSTRUCTION; 1.200,00 € ;20/03/2019;YES;PROV-004;ZONE 1;EXTERNAL; 540,00 € 
153;CONSULTING;CUSTOMER-0003;MADRID;CONSTRUCTION; 300,00 € ;31/08/2019;NO;PROV-004;ZONE 1;EXTERNAL; 135,00 € 
154;DEVELOPMENT;CUSTOMER-0004;MADRID;CONSTRUCTION; 200,00 € ;26/08/2020;NO;PROV-004;ZONE 1;EXTERNAL; 90,00 € 
155;PROJECT;CUSTOMER-0005;BARCELONA;METAL; 150,00 € ;26/01/2021;NO;PROV-005;ZONE 2;INTERNAL; 67,50 € 
156;TEAMS;CUSTOMER-0006;BARCELONA;BANK; 120,00 € ;04/09/2021;NO;PROV-003;ZONE 2;INTERNAL; 54,00 € 
157;CONSULTING;CUSTOMER-0007;BARCELONA;BANK; 300,00 € ;05/06/2020;NO;PROV-005;ZONE 2;INTERNAL; 135,00 € 
158;DEVELOPMENT;CUSTOMER-0008;ALICANTE;METAL; 350,00 € ;28/03/2021;NO;PROV-005;ZONE 2;INTERNAL; 157,50 € 
159;PROJECT;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 300,00 € ;01/08/2019;YES;PROV-003;ZONE 2;INTERNAL; 135,00 € 
160;TEAMS;CUSTOMER-0010;MADRID;BANK; 120,00 € ;31/05/2020;YES;PROV-005;ZONE 2;INTERNAL; 54,00 € 
161;PROGRAM;CUSTOMER-0004;MADRID;CONSTRUCTION; 150,00 € ;29/03/2020;YES;PROV-003;ZONE 2;INTERNAL; 67,50 € 
162;TRAINING;CUSTOMER-0005;BARCELONA;METAL; 1.200,00 € ;10/05/2021;YES;PROV-005;ZONE 2;INTERNAL; 540,00 € 
163;CONSULTING;CUSTOMER-0005;BARCELONA;METAL; 800,00 € ;02/09/2020;YES;PROV-005;ZONE 2;INTERNAL; 360,00 € 
164;DEVELOPMENT;CUSTOMER-0006;BARCELONA;BANK; 750,00 € ;13/09/2021;YES;PROV-003;ZONE 2;INTERNAL; 337,50 € 
165;PROJECT;CUSTOMER-0007;BARCELONA;BANK; 4.500,00 € ;17/02/2021;YES;PROV-001;ZONE 1;EXTERNAL; 2.025,00 € 
166;TEAMS;CUSTOMER-0008;ALICANTE;METAL; 500,00 € ;15/03/2019;YES;PROV-002;ZONE 1;EXTERNAL; 225,00 € 
167;PROGRAM;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 750,00 € ;10/09/2021;YES;PROV-001;ZONE 1;EXTERNAL; 225,00 € 
168;TRAINING;CUSTOMER-0010;MADRID;BANK; 950,00 € ;16/06/2019;YES;PROV-005;ZONE 2;INTERNAL; 285,00 € 
169;CONSULTING;CUSTOMER-0001;MADRID;METAL; 680,00 € ;22/06/2019;YES;PROV-003;ZONE 2;INTERNAL; 204,00 € 
170;DEVELOPMENT;CUSTOMER-0010;MADRID;BANK; 950,00 € ;16/07/2019;YES;PROV-005;ZONE 2;INTERNAL; 285,00 € 
171;PROJECT;CUSTOMER-0001;MADRID;METAL; 1.500,00 € ;17/09/2020;YES;PROV-005;ZONE 2;INTERNAL; 450,00 € 
172;TEAMS;CUSTOMER-0002;ALICANTE;CONSTRUCTION; 5.000,00 € ;23/12/2019;YES;PROV-003;ZONE 2;INTERNAL; 1.500,00 € 
173;PROGRAM;CUSTOMER-0003;MADRID;CONSTRUCTION; 6.500,00 € ;03/11/2021;YES;PROV-005;ZONE 2;INTERNAL; 1.950,00 € 
